,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Philadelphia
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Basra
12,Taizhou Jiangsu
13,Nouakchott
14,Homs
15,Cochabamba
16,Niamey
17,Kisangani
18,Pointe-Noire
19,Freetown
20,Astana
21,Uyo
22,Mwanza
23,Omsk
24,Lilongwe
25,Nanyang Henan
26,Kigali
27,Tripoli
28,Krasnoyarsk
29,Kaduna
30,Bukavu
31,Maputo
32,San Salvador
33,Shimkent
34,Bujumbura
35,Managua
36,Jingzhou Hubei
37,Zhaoqing
38,Antwerp
39,Johor Bahru
40,Solapur
41,Hargeysa
42,Teresina
43,Fuzhou Jiangxi
44,Aracaju
45,Leshan
46,Marrakech
47,Rotterdam
48,Austin
49,San Jose
50,Denpasar
51,Odesa
52,San Miguel de Tucuman
53,Asmara
54,Padang
55,Cebu City
56,Acapulco de Juarez
57,Valparaiso
58,Kayseri
59,Warangal
60,Changshu
61,Bordeaux
62,Songkhla
63,Yichun Jiangxi
64,Krasnodar
65,Ilorin
66,Cancun
67,Jixi Heilongjiang
68,Blantyre-Limbe
69,Morelia
70,Dnipro
71,Khulna
72,Jerusalem
73,Dehradun
74,Fort Worth
75,Dushanbe
76,Jiujiang
77,Southampton
78,Arequipa
79,Ciudad Guayana
80,Zamboanga City
81,Veracruz
82,Jacksonville
83,Pathum Thani
84,Rajshahi
85,Misratah
86,Guigang
87,Columbus
88,Charlotte
89,Ulsan
90,Bangui
91,Owerri
92,Liverpool
93,Antipolo
94,Zhangzhou
95,Bergamo
96,Donetsk
97,Malang
98,Linfen
99,Sylhet
100,Indianapolis
101,Nampula
102,Hermosillo
103,San Francisco
104,Guntur
105,Lubango
106,Bahawalpur
107,Tyumen
108,Soshanguve
109,Tuxtla Gutierrez
110,Ashgabat
111,Puducherry
112,Culiacan
113,Libreville
114,Saratov
115,Banghazi
116,Valencia
117,Luzhou
118,Quebec City
119,Yibin
120,Ipoh
121,Winnipeg
122,Bogra
