,URL
0,Tokyo
1,Delhi
2,Shanghai
3,Kinshasa
4,Lagos
5,Tehran
6,Luanda
7,Kuala Lumpur
8,Baghdad
9,Dar es Salaam
10,Khartoum
11,Yangon
12,Abidjan
13,Kabul
14,Yaounde
15,Kano
16,Douala
17,Ibadan
18,Antananarivo
19,Kumasi
20,Abuja
21,Asuncion
22,Santo Domingo
23,Mashhad
24,Dakar
25,Lanzhou
26,Pyongyang
27,Guatemala City
28,Ouagadougou
29,Lusaka
30,Port-au-Prince
31,Algiers
32,Bamako
33,Accra
34,Tashkent
35,Brazzaville
36,Damascus
37,Beirut
38,Tunis
39,Mogadishu
40,Esfahan
41,Phnom Penh
42,Havana
43,Aleppo
44,Taizhou Zhejiang
45,Conakry
46,Linyi Shandong
47,Almaty
48,Panama City
49,Lome
50,Benin City
