,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Abidjan
9,Changsha
10,Kunming
11,Kabul
12,Yaounde
13,Kano
14,Douala
15,Ibadan
16,Antananarivo
17,Kumasi
18,Abuja
19,Asuncion
20,Santo Domingo
21,Mashhad
22,Dakar
23,Port Harcourt
24,Pyongyang
25,Guatemala City
26,Ouagadougou
27,Lusaka
28,Port-au-Prince
29,Algiers
30,Bamako
31,Mbuji-Mayi
32,Accra
33,Tashkent
34,Brazzaville
35,Damascus
36,Beirut
37,Tunis
38,Mogadishu
39,Esfahan
40,Phnom Penh
41,Havana
42,Aleppo
43,Taizhou Zhejiang
44,Conakry
45,Linyi Shandong
46,Almaty
47,Panama City
48,Lome
49,Benin City
