,URL
0,Mumbai
1,Kinshasa
2,Lagos
3,Guangzhou
4,Paris
5,Tehran
6,Luanda
7,New York City
8,Dar es Salaam
9,Yangon
10,Abidjan
11,Ankara
12,Kabul
13,Yaounde
14,Kano
15,Douala
16,Ibadan
17,Antananarivo
18,Kumasi
19,Abuja
20,Asuncion
21,Santo Domingo
22,Mashhad
23,Lanzhou
24,Pyongyang
25,Guatemala City
26,Ouagadougou
27,Lusaka
28,Port-au-Prince
29,Algiers
30,Bamako
31,Mbuji-Mayi
32,Accra
33,Tashkent
34,Brazzaville
35,Damascus
36,Beirut
37,Tunis
38,Mogadishu
39,Esfahan
40,Phnom Penh
41,Havana
42,Aleppo
43,Taizhou Zhejiang
44,Conakry
45,Linyi Shandong
46,Almaty
47,Panama City
48,Lome
49,Benin City
