,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Mandalay
10,Basra
11,Taizhou Jiangsu
12,Nouakchott
13,Homs
14,Cochabamba
15,Niamey
16,Kisangani
17,Pointe-Noire
18,Freetown
19,Astana
20,Uyo
21,Mwanza
22,Omsk
23,Lilongwe
24,Nanyang Henan
25,Jinhua
26,Kigali
27,Tripoli
28,Krasnoyarsk
29,Kaduna
30,Bukavu
31,Maputo
32,San Salvador
33,Shimkent
34,Bujumbura
35,Managua
36,Bishkek
37,Hargeysa
38,Asmara
39,Songkhla
40,Krasnodar
41,Ilorin
42,Cancun
43,Jixi Heilongjiang
44,Blantyre-Limbe
45,Fort Worth
46,Dushanbe
47,Misratah
48,Bangui
49,Owerri
50,Nampula
51,Lubango
52,Ashgabat
53,Libreville
54,Saratov
55,Banghazi
56,Yibin
