,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Onitsha
7,N-Djamena
8,Mandalay
9,Basra
10,Taizhou Jiangsu
11,Nouakchott
12,Homs
13,Cochabamba
14,Niamey
15,Kisangani
16,Pointe-Noire
17,Freetown
18,Astana
19,Uyo
20,Mwanza
21,Omsk
22,Lilongwe
23,Nanyang Henan
24,Kigali
25,Tripoli
26,Krasnoyarsk
27,Kaduna
28,Bukavu
29,Maputo
30,San Salvador
31,Shimkent
32,Bujumbura
33,Managua
34,Bishkek
35,Hargeysa
36,Asmara
37,Ilorin
38,Blantyre-Limbe
39,Dushanbe
40,Misratah
41,Bangui
42,Owerri
43,Nampula
44,Lubango
45,Ashgabat
46,Puducherry
47,Libreville
48,Banghazi
